CommectIds,Comments,Clean Comments,Sentiment Scores,Sentiments
FINCEN-2017-0013-0023,"Dear FINCEN,<br/><br/>Any updates on money laundering by the Trump kleptocracy? I was hoping to hear some news on my local Sinclair affiliate, but all I got was a lobotomized anchor reading a canned speech about how any reporting not vetted by Limbaugh and Hannity is a danger to democracy. Good to know but not very informative.<br/><br/>Thanks in advance &amp; keep up the good work.<br/>",dear fincen update money laundering trump kleptocracy hoping hear news local sinclair affiliate got lobotomized anchor reading canned speech reporting vetted limbaugh hannity danger democracy good know informative thanks advance amp keep good work,0.8658,Positive
FINCEN-2017-0013-0002,&#39;GP hello AfterwordsI would like toReviewThe preliminary ReportsAt this bank   <br/>,gp hello afterwordsi would like toreviewthe preliminary reportsat bank,0.3612,Positive
FINCEN-2017-0013-0024,Please see attached files.,please see attached file,0.3182,Positive
FAA-2015-6642-0002,Please attach the following grant letter to Prox Dynamics Inc (Docket No. FAA-2015-6642).,please attach following grant letter prox dynamic inc docket faa,0.7506,Positive
FAA-2014-0641-0022,Please see attached Petition of Sky-Futures USA Inc. to Amend Exemption No. 11208A to Authorize UAS Training or Instruction for Hire and to Add Additional UAS Models (Docket No. FAA-2014-0641).<br/>,please see attached petition sky future usa inc amend exemption authorize uas training instruction hire add additional uas model docket faa,0.3182,Positive
FAA-2014-0641-0021,Small UAV Coalition comments in support of petition for amendment,small uav coalition comment support petition amendment,0.4019,Positive
FAA-2014-0641-0011,"To Whom It May Concern: I would like to offer my comments in support of the Sky-Futures request for a Section 333 Exemption for the following reasons:<br/><span style='padding-left: 30px'></span>1. Sky-Futures has developed a unique approach to safely inspecting such facilities at difficult to access locations on offshore oil and gas platforms, oil and gas processing plants, oil wells, and the supporting transportation support assets. Granting Sky-Futures to have a Section 333 Exemption would allow them to provide an innovative and cost effective approach to enhancing the safety processes and allow stricter safety compliance in the oil and gas industry by the Federal Government.<br/><span style='padding-left: 30px'></span>2. The airspace required for this support is extremely limited to the appropriate facility being inspected, operates in a remote low altitude environment, and would have no apparent effect upon the National Airspace System.<br/><span style='padding-left: 30px'></span>3. All Remote Pilots are trained Unmanned Aircraft Systems (UAS) specialists who were highly trained by the Military and fully understand proper air space management.<br/><span style='padding-left: 30px'></span>4. Such an exemption would establish a very important precedent that the UAS industry has potential for other qualified small businesses and is not the sole industry of large system integrators like Northrup Grumman, BAE Systems, General Dynamics, etc. This is particularly important for OBXtek Inc. who is a Service Disabled Veteran Owned Small Business that may support Sky-Futures in their operations in the USA.<br/><br/>We at OBXtek appreciate your consideration of this 333 exemption and if you have any additional questions please give me a call at 571.395.4543.<br/><br/>Sincerely,<br/>Bruce E. Jesson<br/>President and CEO <br/>OBXtek Inc.<br/>ejesson@obxtek.com<br/>",may concern would like offer comment support sky future request section exemption following reason sky future developed unique approach safely inspecting facility difficult access location offshore oil gas platform oil gas processing plant oil well supporting transportation support asset granting sky future section exemption would allow provide innovative cost effective approach enhancing safety process allow stricter safety compliance oil gas industry federal government airspace required support extremely limited appropriate facility inspected operates remote low altitude environment would apparent effect upon national airspace system remote pilot trained unmanned aircraft system uas specialist highly trained military fully understand proper air space management exemption would establish important precedent uas industry potential qualified small business sole industry large system integrator like northrup grumman bae system general dynamic etc particularly important obxtek inc service disabled veteran owned small business may support sky future operation usa obxtek appreciate consideration exemption additional question please give call sincerely bruce jessonpresident ceo obxtek inc ejesson obxtek com,0.9928,Positive
FAA-2014-0641-0012,"Sky-Futures has a long track record of ensuring safety during their operations and will bring those same levels of safety to US operations. Due to the vehicles weight and low velocity, risk to local infrastructure and people are minimal and can be mitigated procedurally. These operation will help feed the FAA data on how to safely regulate operations on off-shore oil platforms which can lend itself to developing regulations for more densely packed environments. ",sky future long track record ensuring safety operation bring level safety u operation due vehicle weight low velocity risk local infrastructure people minimal mitigated procedurally operation help feed faa data safely regulate operation shore oil platform lend developing regulation densely packed environment,0.8555,Positive
FAA-2014-0641-0004,"My name is Lt Col Jason Forte and I am a MQ-1B Predator instructor pilot in the Texas National Guard.  I have been piloting the MQ-1B for eight years and have nearly 4,000 combat hours.  I also have my commercial and ATP licenses and 2,200 pilot in command hours in the Lear 35 and C-130 Hercules.  I have either been an instructor or evaluator pilot in all three platforms.<br/><br/>Sky-Futures has submitted a Section 333 Exemption letter to operate small unmanned aircraft systems in US airspace.  After thoroughly reviewing the exemption request, it has my full support.  <br/><br/>My two largest concerns when considering granting any type of exemption are training and safety of flight.<br/><br/>TRAINING<br/>I have met with Nicholas Rogers, the training and legislation director at Sky-Futures.  I reviewed all of the checklists and training syllabi for the AscTec Falcon 8 and it rivals any formal training course that the Air Force offers.  My formal training for the MQ-1B was four weeks.  This included system academics, basic aircraft control and employment of the hellfire missile.  The Predator is a much more complex system than the Falcon 8.  The Sky-Futures training syllabus is a three week training course.  Every ride has a clearly defined, detailed list of tasks that must be accomplished.  Sky-Futures also requires that the pilot in command either have a private pilots license or has completed FAA ground instruction and pass the FAA written examination.  Keep in mind that the pilot in command is never actually controlling any flight surfaces but rather making inputs to the autopilot system.<br/><br/>SAFETY OF FLIGHT<br/>The Falcon 8 will be operating in the offshore environment over and around platforms that are essentially private property.  When doing a hazard analysis of the offshore environment there are three main areas that should be addressed.  People working on the platform, ships surrounding the platform and arriving/departing helicopter traffic.  The risk analysis for these three areas is very LOW.  First and foremost, the mission time of the Falcon 8 is 15-20 minutes making it very easy to remove all ships and people from the area of the platform that is being inspected.  If this is not practical, then numerous announcements should be made over the platform communication system alerting the crew of inspection operations.  All members of the platform are required to wear proper safety equipment to include hardhat and protective eye ware.  Due to the known helicopter schedule, it is very easy to schedule inspections so as to never have a UAS and helicopter in the air at the same time.  As a failsafe, the pilot in command will monitor the appropriate radio frequency.  If a helicopter is inbound/outbound the proper coordination will take place.<br/><br/>Recently, the news has reported that the FAA will grant 333 exemptions to seven film companies allowing them to use drones for filming purposes.  This is a great stride forward for the small UAS.  All of the details are not released yet but it should be noted that platform inspections would most likely take place in more remote areas with less congestion.  Whatever the risk assessment is for the film and television UAS, the platform inspection risk will be equal to it or lower.<br/>",name lt col jason forte mq predator instructor pilot texas national guard piloting mq eight year nearly combat hour also commercial atp license pilot command hour lear hercules either instructor evaluator pilot three platform sky future submitted section exemption letter operate small unmanned aircraft system u airspace thoroughly reviewing exemption request full support two largest concern considering granting type exemption training safety flight trainingi met nicholas rogers training legislation director sky future reviewed checklist training syllabus asctec falcon rival formal training course air force offer formal training mq four week included system academic basic aircraft control employment hellfire missile predator much complex system falcon sky future training syllabus three week training course every ride clearly defined detailed list task must accomplished sky future also requires pilot command either private pilot license completed faa ground instruction pas faa written examination keep mind pilot command never actually controlling flight surface rather making input autopilot system safety flightthe falcon operating offshore environment around platform essentially private property hazard analysis offshore environment three main area addressed people working platform ship surrounding platform arriving departing helicopter traffic risk analysis three area low first foremost mission time falcon minute making easy remove ship people area platform inspected practical numerous announcement made platform communication system alerting crew inspection operation member platform required wear proper safety equipment include hardhat protective eye ware due known helicopter schedule easy schedule inspection never uas helicopter air time failsafe pilot command monitor appropriate radio frequency helicopter inbound outbound proper coordination take place recently news reported faa grant exemption seven film company allowing use drone filming purpose great stride forward small uas detail released yet noted platform inspection would likely take place remote area le congestion whatever risk assessment film television uas platform inspection risk equal lower,0.9607,Positive
FAA-2014-0641-0007,see attached,see attached,0.0,Neutral
