CommectIds,Comments
FINCEN-2017-0013-0023,"Dear FINCEN,<br/><br/>Any updates on money laundering by the Trump kleptocracy? I was hoping to hear some news on my local Sinclair affiliate, but all I got was a lobotomized anchor reading a canned speech about how any reporting not vetted by Limbaugh and Hannity is a danger to democracy. Good to know but not very informative.<br/><br/>Thanks in advance &amp; keep up the good work.<br/>"
FINCEN-2017-0013-0002,&#39;GP hello AfterwordsI would like toReviewThe preliminary ReportsAt this bank   <br/>
FINCEN-2017-0013-0024,Please see attached files.
FAA-2015-6642-0002,Please attach the following grant letter to Prox Dynamics Inc (Docket No. FAA-2015-6642).
FAA-2014-0641-0022,Please see attached Petition of Sky-Futures USA Inc. to Amend Exemption No. 11208A to Authorize UAS Training or Instruction for Hire and to Add Additional UAS Models (Docket No. FAA-2014-0641).<br/>
FAA-2014-0641-0021,Small UAV Coalition comments in support of petition for amendment
FAA-2014-0641-0011,"To Whom It May Concern: I would like to offer my comments in support of the Sky-Futures request for a Section 333 Exemption for the following reasons:<br/><span style='padding-left: 30px'></span>1. Sky-Futures has developed a unique approach to safely inspecting such facilities at difficult to access locations on offshore oil and gas platforms, oil and gas processing plants, oil wells, and the supporting transportation support assets. Granting Sky-Futures to have a Section 333 Exemption would allow them to provide an innovative and cost effective approach to enhancing the safety processes and allow stricter safety compliance in the oil and gas industry by the Federal Government.<br/><span style='padding-left: 30px'></span>2. The airspace required for this support is extremely limited to the appropriate facility being inspected, operates in a remote low altitude environment, and would have no apparent effect upon the National Airspace System.<br/><span style='padding-left: 30px'></span>3. All Remote Pilots are trained Unmanned Aircraft Systems (UAS) specialists who were highly trained by the Military and fully understand proper air space management.<br/><span style='padding-left: 30px'></span>4. Such an exemption would establish a very important precedent that the UAS industry has potential for other qualified small businesses and is not the sole industry of large system integrators like Northrup Grumman, BAE Systems, General Dynamics, etc. This is particularly important for OBXtek Inc. who is a Service Disabled Veteran Owned Small Business that may support Sky-Futures in their operations in the USA.<br/><br/>We at OBXtek appreciate your consideration of this 333 exemption and if you have any additional questions please give me a call at 571.395.4543.<br/><br/>Sincerely,<br/>Bruce E. Jesson<br/>President and CEO <br/>OBXtek Inc.<br/>ejesson@obxtek.com<br/>"
FAA-2014-0641-0012,"Sky-Futures has a long track record of ensuring safety during their operations and will bring those same levels of safety to US operations. Due to the vehicles weight and low velocity, risk to local infrastructure and people are minimal and can be mitigated procedurally. These operation will help feed the FAA data on how to safely regulate operations on off-shore oil platforms which can lend itself to developing regulations for more densely packed environments. "
FAA-2014-0641-0004,"My name is Lt Col Jason Forte and I am a MQ-1B Predator instructor pilot in the Texas National Guard.  I have been piloting the MQ-1B for eight years and have nearly 4,000 combat hours.  I also have my commercial and ATP licenses and 2,200 pilot in command hours in the Lear 35 and C-130 Hercules.  I have either been an instructor or evaluator pilot in all three platforms.<br/><br/>Sky-Futures has submitted a Section 333 Exemption letter to operate small unmanned aircraft systems in US airspace.  After thoroughly reviewing the exemption request, it has my full support.  <br/><br/>My two largest concerns when considering granting any type of exemption are training and safety of flight.<br/><br/>TRAINING<br/>I have met with Nicholas Rogers, the training and legislation director at Sky-Futures.  I reviewed all of the checklists and training syllabi for the AscTec Falcon 8 and it rivals any formal training course that the Air Force offers.  My formal training for the MQ-1B was four weeks.  This included system academics, basic aircraft control and employment of the hellfire missile.  The Predator is a much more complex system than the Falcon 8.  The Sky-Futures training syllabus is a three week training course.  Every ride has a clearly defined, detailed list of tasks that must be accomplished.  Sky-Futures also requires that the pilot in command either have a private pilots license or has completed FAA ground instruction and pass the FAA written examination.  Keep in mind that the pilot in command is never actually controlling any flight surfaces but rather making inputs to the autopilot system.<br/><br/>SAFETY OF FLIGHT<br/>The Falcon 8 will be operating in the offshore environment over and around platforms that are essentially private property.  When doing a hazard analysis of the offshore environment there are three main areas that should be addressed.  People working on the platform, ships surrounding the platform and arriving/departing helicopter traffic.  The risk analysis for these three areas is very LOW.  First and foremost, the mission time of the Falcon 8 is 15-20 minutes making it very easy to remove all ships and people from the area of the platform that is being inspected.  If this is not practical, then numerous announcements should be made over the platform communication system alerting the crew of inspection operations.  All members of the platform are required to wear proper safety equipment to include hardhat and protective eye ware.  Due to the known helicopter schedule, it is very easy to schedule inspections so as to never have a UAS and helicopter in the air at the same time.  As a failsafe, the pilot in command will monitor the appropriate radio frequency.  If a helicopter is inbound/outbound the proper coordination will take place.<br/><br/>Recently, the news has reported that the FAA will grant 333 exemptions to seven film companies allowing them to use drones for filming purposes.  This is a great stride forward for the small UAS.  All of the details are not released yet but it should be noted that platform inspections would most likely take place in more remote areas with less congestion.  Whatever the risk assessment is for the film and television UAS, the platform inspection risk will be equal to it or lower.<br/>"
FAA-2014-0641-0007,see attached
FAA-2014-0641-0006,"Dear Sirs I am offering my comments in support of the Sky-Futures request for a Section 333 Exemption. <br/>I am a retired Vice President from ExxonMobil. During my career in the oil and gas industry safety was a primary concern. Routine inspection of operating equipment is vital to ensure safe operations. These inspections include pipelines, refinery equipment such as flares and pressure vessels, offshore platforms, remote gas separation plants, oil wells and gathering systems, ships, terminals, retail outlets and many other facilities. <br/>In order to conduct visual inspections the currently used technology frequently requires placing personnel in elevated or difficult positions to gain line of sight. <br/>Unmanned Aircraft Systems offer a safer, lower cost and more flexible process for providing external inspections. <br/>Sky-Futures has demonstrated success in these areas in other parts of the world. Allowing the company to operate in the USA will help support the oil and gas industry thus protecting the vital interests of the country. "
FAA-2014-0641-0008,"I encourage the FAA to approve Sky-Futures&#39; Section 333 Exemption request to operate small unmanned aircraft systems (UAS) in US airspace.  Including Sky-Futures in the early stages as the FAA broadens commercial UAS use will be a public service in both expansion of veteran career opportunities and improved safety of dangerous infrastructure services.<br/><br/>It is critical that civilian organizations continue to provide veteran career opportunities.  Our military men and women serve this country proudly and helping them transfer that experience into civilian careers provides many benefits for both the individuals and companies that hire them.  Coming out of the US Air Force with Titan II missile experience, I well know the challenges of translating military specific skills into a civilian job.  I am encouraged to see Sky-Futures&#39; commitment to veterans with an employee makeup greater than 80% globally.   Opening the US market to Sky-Futures enables US veterans with military UAS experience to transfer these hard-earned skills into oil and gas, construction and utilities inspections.  <br/><br/>Sky-Futures has 5 years experience delivering commercial UAS inspections on dangerous infrastructure located in extreme and austere geographical environments with a proven record of improving safety.  Firstly by minimizing human risk on the actual inspections.  Secondly by allowing more thorough inspections of this type of infrastructure, providing more accurate data points to prevent future accidents.   This UAS use case is very different from existing use cases exempted by the FAA and will provide a much broader perspective for the safe integration of UAS into the National Airspace System allowing more comprehensive rule-making.  <br/><br/>Gracie Golonka<br/>US Air Force Veteran"
FAA-2014-0641-0005,"I have read and analyzed the Sky-Futures USA Inc. Section 333 Exemption petition and I find its detail and precision a reflection of the already proven professionalism and execution by Sky-Futures providing detailed inspections and data collection in the oil and gas industry for the past 5 years while adhering to the strict provisions of the CAA, CAP-722 and other safety compliance regulations. Sky-Futures is a current global leader in UAV inspection services and they have made no shortcuts in growing their business and providing services to large-named oil and gas clients. All Sky-Futures operators are militarily trained and have extensive UAV experience even before entering the rigorous training program of the Sky-Futures UAV operator course. The AscTech Falcon 8 is a reliable proven multi-copter airframe that fits within the SUAS group guidelines and has been a successful tool for on and offshore inspections. I have spoken and met with the Sky-Futures leadership and I am convinced that they have all the means necessary to be the front-runner and set the bar for safety and reliability for Onshore and Offshore oil and gas inspections services in the United States and the Gulf of Mexico. <br/><br/>Russell Williamson<br/>Air Force Special Operations Air Warfare Center Headquarters<br/>Small UAS Program Manager"
FAA-2014-0641-0009,Small UAV Coalition comments in support of SkyWard &amp; Sky-Futures petition for exemption
FAA-2014-0641-0010,See attached file(s)
FAA-2015-5675-0002,Please place the attached rejection letter in the docket.
FAA-2015-6247-0002,Please attach the following grant letter to Drone University USA (DocketNo.FAA20156247).
